,date,IAQI
0,2013-01-01,34.48556108508974
1,2013-01-02,31.452460967993755
2,2013-01-03,31.1545682084309
3,2013-01-04,32.800013173302126
4,2013-01-05,32.71943354800935
5,2013-01-06,31.867607825917247
6,2013-01-07,34.01970238095238
7,2013-01-08,35.5353903200624
8,2013-01-09,33.70087945865611
9,2013-01-10,32.48526736924276
10,2013-01-11,34.49383538251367
11,2013-01-12,34.20074014441841
12,2013-01-13,30.72821379781417
13,2013-01-14,29.83926766198284
14,2013-01-15,32.94458186963312
15,2013-01-16,33.227992779078846
16,2013-01-17,32.61410567915688
17,2013-01-18,33.27432035519125
18,2013-01-19,32.872906908665115
19,2013-01-20,32.55485070257614
20,2013-01-21,33.01204332552694
21,2013-01-22,31.900623536299765
22,2013-01-23,31.95406859875101
23,2013-01-24,33.39779078844652
24,2013-01-25,34.46932523419204
25,2013-01-26,34.06163885636222
26,2013-01-27,34.50640222482438
27,2013-01-28,33.87482045277124
28,2013-01-29,28.74905640124902
29,2013-01-30,29.22756830601093
30,2013-01-31,30.098432864949277
31,2013-02-01,31.66952722482435
32,2013-02-02,31.75374024199843
33,2013-02-03,30.80431645199068
34,2013-02-04,29.881521272443457
35,2013-02-05,32.101332455113194
36,2013-02-06,32.644937060889944
37,2013-02-07,31.410103434816527
38,2013-02-08,32.787286625032515
39,2013-02-09,31.758232825917226
40,2013-02-10,30.244299863387937
41,2013-02-11,31.94051083138174
42,2013-02-12,34.67297862997651
43,2013-02-13,33.46356264637004
44,2013-02-14,32.68564207650271
45,2013-02-15,33.608555815768845
46,2013-02-16,33.137273126463725
47,2013-02-17,33.612568306010964
48,2013-02-18,34.1129195940671
49,2013-02-19,35.18313036690087
50,2013-02-20,34.79344018345046
51,2013-02-21,34.40881830601095
52,2013-02-22,32.66251170960189
53,2013-02-23,31.362039910226336
54,2013-02-24,30.91188085480096
55,2013-02-25,30.50131684231073
56,2013-02-26,30.39596457845432
57,2013-02-27,32.85961651053867
58,2013-02-28,46.97432474629197
59,2013-03-01,40.57736094847775
60,2013-03-02,39.19274297423885
61,2013-03-03,36.81271516393448
62,2013-03-04,33.613005952380945
63,2013-03-05,32.74175887978144
64,2013-03-06,33.74572762164979
65,2013-03-07,35.50657559198542
66,2013-03-08,38.00753512880556
67,2013-03-09,59.23810938719748
68,2013-03-10,68.66660502862345
69,2013-03-11,59.43607728337228
70,2013-03-12,50.44454478922716
71,2013-03-13,45.64896370023422
72,2013-03-14,37.71670716237314
73,2013-03-15,35.495595238095234
74,2013-03-16,36.32274687743949
75,2013-03-17,36.55592473328132
76,2013-03-18,38.05749072989849
77,2013-03-19,37.80414536169659
78,2013-03-20,36.884123731459816
79,2013-03-21,35.76160177595627
80,2013-03-22,36.55081316679673
81,2013-03-23,39.80044707910486
82,2013-03-24,46.44852800546446
83,2013-03-25,64.84381521597705
84,2013-03-26,63.31555051392139
85,2013-03-27,47.91765954332552
86,2013-03-28,37.22447648321626
87,2013-03-29,36.55775517174085
88,2013-03-30,36.39435694769713
89,2013-03-31,38.51721165105386
90,2013-04-01,50.51523858313821
91,2013-04-02,57.65146760343489
92,2013-04-03,56.61544106167055
93,2013-04-04,81.92544724173824
94,2013-04-05,79.53458040593281
95,2013-04-06,66.94707032266463
96,2013-04-07,50.46828795862605
97,2013-04-08,64.37664568696322
98,2013-04-09,91.34662747202714
99,2013-04-10,68.81446672521461
100,2013-04-11,48.720657526671886
101,2013-04-12,45.48232777127242
102,2013-04-13,44.6500725344783
103,2013-04-14,46.55779290268016
104,2013-04-15,43.01334032656781
105,2013-04-16,45.89599970725998
106,2013-04-17,87.55710382513665
107,2013-04-18,80.3103856036951
108,2013-04-19,64.16242242388756
109,2013-04-20,51.74031534608378
110,2013-04-21,46.5735216627635
111,2013-04-22,40.57090424147805
112,2013-04-23,39.21449860135312
113,2013-04-24,42.45447095368208
114,2013-04-25,43.46637262555294
115,2013-04-26,39.00698868071821
116,2013-04-27,46.3211033047099
117,2013-04-28,71.44707064793128
118,2013-04-29,87.75037665886029
119,2013-04-30,82.86728239656519
120,2013-05-01,70.64578454332559
121,2013-05-02,63.51340993364555
122,2013-05-03,60.874262782982
123,2013-05-04,46.41564939500383
124,2013-05-05,53.48253008717151
125,2013-05-06,45.174479247983335
126,2013-05-07,54.74548204527711
127,2013-05-08,63.81127715977096
128,2013-05-09,71.14176375878218
129,2013-05-10,53.586715619307846
130,2013-05-11,50.36023890840488
131,2013-05-12,97.90581430523028
132,2013-05-13,76.07743250715578
133,2013-05-14,55.68136986078585
134,2013-05-15,45.59289617486336
135,2013-05-16,46.90570810564661
136,2013-05-17,47.79009009888106
137,2013-05-18,50.41648630627112
138,2013-05-19,45.08206479313034
139,2013-05-20,52.5809336781161
140,2013-05-21,51.164379065834034
141,2013-05-22,95.37321152094722
142,2013-05-23,89.2849523484257
143,2013-05-24,65.47799375487892
144,2013-05-25,55.30366575591992
145,2013-05-26,77.76373552563106
146,2013-05-27,92.40160698022372
147,2013-05-28,78.14789747593028
148,2013-05-29,65.21431628935731
149,2013-05-30,59.369678961748576
150,2013-05-31,50.87507334764509
151,2013-06-01,46.328443924017726
152,2013-06-02,43.857409087952064
153,2013-06-03,50.251716269841296
154,2013-06-04,48.70163495316152
155,2013-06-05,48.64291195029924
156,2013-06-06,55.36087968384077
157,2013-06-07,51.5068710967994
158,2013-06-08,46.25036852719226
159,2013-06-09,60.08861111111106
160,2013-06-10,64.56902907884466
161,2013-06-11,50.03936833203229
162,2013-06-12,70.65431319932344
163,2013-06-13,71.67570338927911
