,date,IAQI
0,2013-01-01,69.86214657738095
1,2013-01-02,114.348828125
2,2013-01-03,70.25009300595237
3,2013-01-04,81.94531249999999
4,2013-01-05,117.216015625
5,2013-01-06,141.07745535714284
6,2013-01-07,170.99612723214287
7,2013-01-08,191.44087797619045
8,2013-01-09,248.61388392857145
9,2013-01-10,246.45761532738095
10,2013-01-11,190.3230357142857
11,2013-01-12,184.0218005952381
12,2013-01-13,177.1448400297619
13,2013-01-14,192.267261904762
14,2013-01-15,183.87997767857144
15,2013-01-16,212.05600818452376
16,2013-01-17,230.25508928571423
17,2013-01-18,184.50981770833332
18,2013-01-19,142.4956436011905
19,2013-01-20,135.80717261904763
20,2013-01-21,167.710119047619
21,2013-01-22,230.9032738095237
22,2013-01-23,213.0206659226189
23,2013-01-24,149.53882440476198
24,2013-01-25,106.849255952381
25,2013-01-26,116.64376860119052
26,2013-01-27,163.41235491071424
27,2013-01-28,156.19493303571429
28,2013-01-29,128.19610491071424
29,2013-01-30,129.64771577380955
30,2013-01-31,130.4330543154762
31,2013-02-01,99.13371279761904
32,2013-02-02,179.26247023809526
33,2013-02-03,134.3200744047619
34,2013-02-04,99.61076264880954
35,2013-02-05,102.5548586309524
36,2013-02-06,144.83309895833332
37,2013-02-07,111.47618675595238
38,2013-02-08,62.05796130952382
39,2013-02-09,80.87122395833335
40,2013-02-10,118.73058407738095
41,2013-02-11,130.0508370535714
42,2013-02-12,184.5444717261904
43,2013-02-13,169.8211197916667
44,2013-02-14,123.7301636904762
45,2013-02-15,165.9188504464286
46,2013-02-16,141.0510602678572
47,2013-02-17,98.6121837797619
48,2013-02-18,108.5566257440476
49,2013-02-19,93.35433407738088
50,2013-02-20,77.26406250000002
51,2013-02-21,91.25455729166669
52,2013-02-22,103.63249627976192
53,2013-02-23,103.56874999999998
54,2013-02-24,91.09739583333332
55,2013-02-25,119.87904389880948
56,2013-02-26,132.17727306547613
57,2013-02-27,185.925859375
58,2013-02-28,126.63325892857142
59,2013-03-01,80.47499999999998
60,2013-03-02,53.19252232142853
61,2013-03-03,61.44126860119048
62,2013-03-04,62.72906250000002
63,2013-03-05,66.66336309523811
64,2013-03-06,70.72438244047619
65,2013-03-07,85.4345238095238
66,2013-03-08,97.32374255952384
67,2013-03-09,83.79159226190477
68,2013-03-10,59.46575148809524
69,2013-03-11,72.96354166666667
70,2013-03-12,79.1707180059524
71,2013-03-13,113.8797433035714
72,2013-03-14,115.80135416666668
73,2013-03-15,93.58121279761905
74,2013-03-16,92.05533854166664
75,2013-03-17,81.01480654761902
76,2013-03-18,86.99575520833336
77,2013-03-19,80.06955729166667
78,2013-03-20,96.678515625
79,2013-03-21,110.41201636904766
80,2013-03-22,71.36879464285714
81,2013-03-23,109.85985863095236
82,2013-03-24,123.56670014880947
83,2013-03-25,96.05494791666668
84,2013-03-26,77.22591145833333
85,2013-03-27,76.51677083333334
86,2013-03-28,78.83635416666668
87,2013-03-29,87.17879464285717
88,2013-03-30,90.02330729166663
89,2013-03-31,105.0340773809524
90,2013-04-01,103.61484374999998
91,2013-04-02,97.821484375
92,2013-04-03,94.32447916666668
93,2013-04-04,79.65745907738098
94,2013-04-05,80.84817708333331
95,2013-04-06,62.91932291666664
96,2013-04-07,64.0344010416667
97,2013-04-08,69.25351562500002
98,2013-04-09,84.93567708333332
99,2013-04-10,77.29315104166665
100,2013-04-11,68.66700148809524
101,2013-04-12,59.05156250000001
102,2013-04-13,63.075967261904765
103,2013-04-14,64.43113839285715
104,2013-04-15,66.8765625
105,2013-04-16,68.31992187499999
106,2013-04-17,64.52942708333332
107,2013-04-18,63.04918154761904
108,2013-04-19,80.97724330357144
109,2013-04-20,72.85234375
110,2013-04-21,82.57031249999999
111,2013-04-22,83.01484375000001
112,2013-04-23,66.22686755952381
113,2013-04-24,82.30619419642859
114,2013-04-25,100.94644717261905
115,2013-04-26,95.38085937500006
116,2013-04-27,79.16393229166664
117,2013-04-28,54.94492187500001
118,2013-04-29,45.193125
119,2013-04-30,50.27834077380951
120,2013-05-01,58.72975074404761
121,2013-05-02,75.66484375
122,2013-05-03,80.86028645833335
123,2013-05-04,87.16432291666668
124,2013-05-05,92.57981770833337
125,2013-05-06,79.01826636904761
126,2013-05-07,68.99776785714285
127,2013-05-08,68.76101562499998
128,2013-05-09,69.41045758928571
129,2013-05-10,77.74119791666668
130,2013-05-11,73.50932291666669
131,2013-05-12,70.82851562499998
132,2013-05-13,71.36705729166667
133,2013-05-14,67.29415550595238
134,2013-05-15,58.44514508928574
135,2013-05-16,71.73428199404762
136,2013-05-17,65.6302604166667
137,2013-05-18,81.72578124999998
138,2013-05-19,87.07890624999999
139,2013-05-20,86.02695312499999
140,2013-05-21,76.15130208333332
141,2013-05-22,70.41888020833333
142,2013-05-23,73.27543402777776
143,2013-05-24,74.99331597222223
144,2013-05-25,66.39330357142858
145,2013-05-26,48.34642857142856
146,2013-05-27,62.81477182539681
147,2013-05-28,56.60992559523812
148,2013-05-29,48.23
149,2013-05-30,68.7416666666667
150,2013-05-31,66.99495907738095
151,2013-06-01,56.222898065476166
152,2013-06-02,69.71835937499996
153,2013-06-03,83.25755208333332
154,2013-06-04,87.80325520833331
155,2013-06-05,79.8021019345238
156,2013-06-06,39.13052827380951
157,2013-06-07,45.82391369047618
158,2013-06-08,66.49088541666667
159,2013-06-09,62.60654141865079
160,2013-06-10,58.266082589285695
161,2013-06-11,62.72942584325396
162,2013-06-12,68.0479166666667
163,2013-06-13,68.19981026785713
164,2013-06-14,70.77591021825398
165,2013-06-15,46.48372767857143
166,2013-06-16,33.37087425595239
167,2013-06-17,31.435870535714287
168,2013-06-18,40.02833705357143
169,2013-06-19,50.74243675595238
170,2013-06-20,56.51401785714288
171,2013-06-21,70.90590401785714
172,2013-06-22,76.0482105654762
173,2013-06-23,55.54428571428571
174,2013-06-24,39.821603422619056
175,2013-06-25,52.23521577380955
176,2013-06-26,59.55717261904763
177,2013-06-27,51.57513764880954
178,2013-06-28,57.06079613095236
179,2013-06-29,46.41165178571429
180,2013-06-30,34.56801711309524
181,2013-07-01,31.21502232142857
182,2013-07-02,27.530078125
183,2013-07-03,30.04932291666667
184,2013-07-04,29.948802083333334
185,2013-07-05,29.97541666666667
186,2013-07-06,34.42680431547618
187,2013-07-07,31.94732514880953
188,2013-07-08,29.21890625
189,2013-07-09,27.267462797619057
190,2013-07-10,29.35505952380952
191,2013-07-11,32.89464285714285
192,2013-07-12,37.40582217261905
193,2013-07-13,50.591179315476175
194,2013-07-14,58.5924045138889
195,2013-07-15,42.01564732142857
196,2013-07-16,33.27058779761905
197,2013-07-17,33.30558035714284
198,2013-07-18,30.563251488095247
199,2013-07-19,33.65037202380953
200,2013-07-20,35.669248511904776
201,2013-07-21,27.10864583333334
