,U(m/s),V(m/s),TEMP(K),RH(%),PSFC(Pa),lon,IAQI_SO2,IAQI_NO2,IAQI_PM10,IAQI_CO,IAQI_O3,IAQI_PM25,IAQI,province,adcode
0,-4.216875,-1.499375,290.823125,72.57437500000002,99563.58125,"110.73,20.0",16.214375,16.61875,84.02781250000001,22.5,51.34343749999999,122.25613839285712,122.25613839285712,海南省,469005
1,-4.588846153846156,-2.1187179487179484,285.9562820512821,48.061025641025644,99443.65,"114.51,25.4",29.045064102564112,54.356730769230765,92.09826923076925,37.625,38.816495726495724,134.9145833333333,134.9145833333333,广东省,440282
2,4.493727810650888,3.724437869822487,281.017928994083,67.99863905325444,81586.92491124263,"99.01,29.16",12.063491124260354,7.80920118343195,40.03816568047335,19.42751479289941,33.47843195266272,47.32040363482669,54.67168639053254,云南省,533422
3,-3.100454545454546,2.155,285.60218181818175,43.56390909090911,97171.03190909092,"111.11,26.3",26.061045454545447,41.40602272727272,92.47131818181816,26.070454545454545,30.416999999999998,143.40848376623376,143.40848376623376,广西壮族自治区,450324
4,-1.836,-3.032666666666666,284.646,65.286,93482.21666666669,"121.57,25.29",14.207333333333334,23.804166666666664,56.491000000000014,11.95,24.515333333333338,75.72833333333332,75.72833333333332,台湾省,710000
5,-3.5283018867924523,-2.327924528301887,281.90622641509435,55.17943396226416,96528.36056603774,"118.67,28.26",31.90537735849057,50.4693396226415,85.49424528301886,24.67924528301887,31.132264150943392,138.51752695417787,138.51752695417787,福建省,350722
6,0.7358441558441551,7.701818181818181,282.462077922078,56.60662337662337,89195.48896103895,"107.72,29.14",37.47538961038962,29.15324675324675,76.80396103896105,20.84090909090909,26.06487012987013,108.5008348794063,108.71131261595548,贵州省,520325
7,-3.171250000000001,2.4082291666666653,283.2988541666667,30.39833333333335,97479.3530208334,"113.55,29.82",33.19864583333335,39.34953124999999,88.06203125,29.447916666666668,24.092552083333334,125.27004092261903,125.27061383928566,湖南省,430682
8,-2.8569444444444434,-0.7843055555555556,281.8815277777777,39.28083333333334,99394.46847222219,"116.87,29.96",26.88284722222222,37.50503472222223,79.76361111111115,24.89236111111111,22.56312500000001,111.81988591269842,111.95387896825397,江西省,360430
9,4.245136363636365,1.444499999999999,273.76490909090904,47.52604545454546,74626.83381818181,"97.84,34.14",14.607318181818165,19.410113636363636,49.035749999999965,19.202954545454542,30.86536363636362,70.10363474025975,87.15812987012984,四川省,513332
10,8.896977186311776,2.0276996197718633,260.4707604562738,52.40420152091255,56589.833973384026,"82.5,35.68",0.217946768060837,0.7140446768060841,2.9057794676806106,3.171102661596958,37.26119771863117,3.3994024986420426,37.29923954372622,西藏自治区,542526
11,-1.6246808510638295,-1.5114893617021279,279.31553191489365,60.25382978723406,98408.61829787234,"119.91,31.13",40.53574468085107,82.00702127659576,118.3267021276596,36.5531914893617,18.345319148936177,202.09985562310032,202.09985562310032,浙江省,330522
12,-4.058857142857143,3.4605714285714293,281.48457142857137,46.99342857142857,92716.60657142855,"108.62,32.11",31.10757142857142,20.70964285714286,83.83671428571431,23.271428571428572,22.93342857142857,123.4397551020408,123.4397551020408,重庆市,500229
13,-2.4373750000000003,2.012999999999999,280.52425000000005,36.03587500000001,96892.29787499997,"111.1,33.11",41.29875,51.450312499999995,102.62013392857143,30.475,21.9480625,146.42645535714283,146.42645535714283,湖北省,420304
14,0.15786885245901627,1.1349180327868853,279.98508196721303,41.139180327868864,100945.75868852458,"116.49,34.51",40.35868852459016,62.28094262295082,112.94959016393443,42.80327868852459,14.104918032786886,186.6149531615925,186.79614168618266,安徽省,341321
15,-0.7693181818181821,2.769999999999999,278.92500000000007,64.31409090909092,102221.97522727273,"119.06,34.94",47.43909090909092,75.84806818181816,113.21522727272728,38.38068181818182,11.939090909090906,158.6902435064935,158.6902435064935,江苏省,320707
16,-2.313255813953489,0.5580232558139536,273.183488372093,34.51976744186048,88831.7460465116,"111.04,39.5",42.49925760286226,35.223401162790715,66.96802325581395,35.39244186046512,19.15482558139536,78.6683970099668,82.72953073089703,陕西省,610822
17,-1.4041558441558442,-1.676233766233766,278.17415584415596,31.34532467532469,99395.9046753247,"114.03,36.34",58.26941558441558,72.63292207792207,117.3935714285714,49.70519480519481,13.626103896103897,163.2188682745826,163.2850695732839,河南省,410522
18,-1.1866666666666668,-0.25999999999999995,279.12999999999994,64.64999999999999,102426.96,"121.31,31.78",28.320000000000004,68.24583333333334,63.10833333333334,25.583333333333332,15.481666666666667,104.75416666666666,104.75416666666666,上海市,310151
19,4.529735099337748,0.31827814569536417,261.1415231788079,39.27049668874172,61689.55456953641,"93.04,39.11",1.290943708609272,1.4778973509933788,2.459039735099338,3.7574503311258276,33.12935430463578,2.6914143803216675,33.98467596972566,青海省,632803
20,1.7028648648648648,0.7936756756756753,266.63648648648655,32.36232432432434,78288.9575135135,"97.07,42.64",10.16954054054054,8.546959459459464,31.268000000000008,12.617567567567567,26.84037837837836,32.149681467181495,46.053756756756755,甘肃省,620923
21,-0.052463768115941806,-0.4962318840579709,270.2226086956521,36.822753623188405,88881.16376811593,"114.16,40.68",38.11807692307693,40.421557971014494,65.94797101449275,49.15072463768116,13.713405797101451,68.21092132505176,71.32007246376813,山西省,140222
22,0.0803076923076923,-0.6784615384615388,275.5784615384615,64.12923076923076,101227.04092307691,"120.91,37.74",70.53869822485206,85.70750000000004,141.47143956043956,56.01923076923077,6.398384615384616,198.18649450549455,198.18649450549455,山东省,370614
